TrialNames,Indiv,Trial,Slope,Int,Position,Condition,Species
Bspot2018_006_GoPro_T19_1461-213_000000,Bspot2018_006,T19_,0.091168831,-0.057402597,nose,Regen,Bspot
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.163036723,-0.081798493,nose,Regen,Bspot
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.08724158,0.077039295,nose,Regen,Bspot
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.173657848,-0.020148148,nose,Regen,Bspot
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.334123864,0.415958351,nose,Regen,Bspot
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.413018018,-0.120563063,nose,Regen,Bspot
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.257506127,-0.226102941,nose,Regen,Bspot
Bspot2018_006_GoPro_T56_1084-387,Bspot2018_006,T56_,0.22168703,-0.125822368,nose,Regen,Bspot
Bspot2018_006_GoPro_T57_1752-751_1,Bspot2018_006,T57_,0.169855237,-0.077850317,nose,Regen,Bspot
Bspot2018_006_GoPro_T59_3303-251,Bspot2018_006,T59_,0.41316,0.393684444,nose,Regen,Bspot
Bspot2018_006_GoPro_T63_1572-368,Bspot2018_006,T63_,0.142028986,-0.122584541,nose,Regen,Bspot
Bspot2018_006_GoPro_T64_1724-788,Bspot2018_006,T64_,0.103194976,-0.036633716,nose,Regen,Bspot
Bspot2018_006_GoPro_T74_1388-902_000000,Bspot2018_006,T74_,0.125940476,-0.038035714,nose,Regen,Bspot
Bspot2018_006_GoPro_T75_1395-615_000000,Bspot2018_006,T75_,0.12974359,0.028644689,nose,Regen,Bspot
Bspot2018_006_GoPro_T76_1904-473_000000,Bspot2018_006,T76_,0.263923766,-0.068719773,nose,Regen,Bspot
Bspot2018_006_GoPro_T77_2382-908_000000,Bspot2018_006,T77_,0.20869349,-0.111255274,nose,Regen,Bspot
Bspot2018_006_GoPro_T80_4421-3847_000000,Bspot2018_006,T80_,0.2708503,1.738397631,nose,Regen,Bspot
Bspot2018_006_GoPro_T85a_3770-2520,Bspot2018_006,T85a,0.296577189,-0.232441625,nose,Regen,Bspot
Bspot2018_006_GoPro_T85b_1158-329,Bspot2018_006,T85b,0.282412791,-0.216375969,nose,Regen,Bspot
Bspot2018_006_GoPro_T87_1829-729,Bspot2018_006,T87_,0.161807181,-0.15130088,nose,Regen,Bspot
Bspot2018_006_GoPro_T88a_4227-2994,Bspot2018_006,T88a,0.158050052,0.041411192,nose,Regen,Bspot
Bspot2018_006_GoPro_T88b_2132-901,Bspot2018_006,T88b,0.144357743,-0.050420168,nose,Regen,Bspot
Bspot2018_009_GoPro_T19_1500-394_000000,Bspot2018_009,T19_,0.06545,0.1105,nose,Regen,Bspot
Bspot2018_009_GoPro_T21_1026-0_000000,Bspot2018_009,T21_,0.117318376,-0.009284188,nose,Regen,Bspot
Bspot2018_009_GoPro_T53_1410-352,Bspot2018_009,T53_,0.20777871,0.587927273,nose,Regen,Bspot
Bspot2018_009_GoPro_T54_2078-959,Bspot2018_009,T54_,0.222573049,0.366309432,nose,Regen,Bspot
Bspot2018_009_GoPro_T56_2412-1119,Bspot2018_009,T56_,0.23189415,1.138579387,nose,Regen,Bspot
Bspot2018_009_GoPro_T62_2415-618,Bspot2018_009,T62_,0.241729997,0.101939931,nose,Regen,Bspot
Bspot2018_009_GoPro_T63_1869-535,Bspot2018_009,T63_,0.212092664,0.299387387,nose,Regen,Bspot
Bspot2018_009_GoPro_T64_1404-772,Bspot2018_009,T64_,0.363641158,-0.419356356,nose,Regen,Bspot
Bspot2018_009_GoPro_T65_1300-618,Bspot2018_009,T65_,0.102408854,-0.071940104,nose,Regen,Bspot
Bspot2018_009_GoPro_T75_1763-1115_000000,Bspot2018_009,T75_,0.227805695,0.246789503,nose,Regen,Bspot
Bspot2018_009_GoPro_T76_1941-816_000000,Bspot2018_009,T76_,0.190193237,0.035696091,nose,Regen,Bspot
