TrialNamesP,IndivP,TrialP,phasePect,phasePelv,phaseTail,Condition,Species,noseSlope,noseInt,pectSlope,pectInt,pelvSlope,pelvInt,tailSlope,tailInt
Polyp2017-011_t,Polyp201,-11,0.240444724,0.461859528,0.074571797,Walking,Polyp,0.304144882,-0.27943937,0.170468031,-0.038994646,0.225493944,0.182420157,0.212417907,-0.204867573
Polyp2017-011_t,Polyp201,-11,0.131767305,0.001145803,0.285610407,Walking,Polyp,0.190298724,-0.121455081,0.211543814,0.010312224,0.221712813,-0.120309278,0.141357326,0.164155326
Polyp2017-012_t,Polyp201,-12,0.070865728,0.030730767,0.124349296,Walking,Polyp,0.223828732,-0.124884131,0.232997344,-0.054018404,0.165999624,-0.094153365,0.133198395,-0.000534836
Polyp2017-012_t,Polyp201,-12,-0.019688727,-0.005542012,0.042914133,Walking,Polyp,0.226545371,-0.000802133,0.1311488,-0.020490861,0.123564994,-0.006344145,0.145319822,0.042112
Polyp2017-014_t,Polyp201,-14,0.084618443,-0.037888181,0.047847688,Walking,Polyp,0.189020349,-0.080823022,0.097111707,0.003795422,0.144087873,-0.118711202,0.128317061,-0.032975334
Polyp2017-014_t,Polyp201,-14,-0.100201207,0.123475215,0.123375014,Walking,Polyp,0.163671315,-0.054837388,0.167679363,-0.155038595,0.114288318,0.068637827,0.110881477,0.068537626
Polyp2017-023_t,Polyp201,-23,-0.036134072,-0.076766667,-0.006985335,Walking,Polyp,0.205653659,-0.012304065,0.120110532,-0.048438137,0.131089357,-0.089070732,0.101208724,-0.0192894
Polyp2017-023_t,Polyp201,-23,0.072605621,0.016458566,0.100672541,Walking,Polyp,0.13467541,-0.130934426,0.127503601,-0.058328806,0.142533237,-0.11447586,0.117616996,-0.030261885
Polyp2017-027_t,Polyp201,-27,-0.054232588,-0.075347025,0.04412327,Walking,Polyp,0.115637447,-0.045994169,0.167652031,-0.100226757,0.164493369,-0.121341194,0.164420477,-0.001870899
Polyp2017-027_t,Polyp201,-27,0.426568783,0.207091905,0.171884467,Walking,Polyp,0.183836667,-0.287015079,0.164724603,0.139553704,0.143929755,-0.079923175,0.219378231,-0.115130612
Polyp011_tr04_,Polyp011,tr04,-0.310737001,-0.169918298,-0.186966733,Swimming,Polyp,0.19308347,0.183636836,0.265937055,-0.127100164,0.155748347,0.013718538,0.117116088,-0.003329896
Polyp011_tr13_,Polyp011,tr13,0.098964719,0.02575,-0.076804113,Swimming,Polyp,0.127412338,-0.04492316,0.171641187,0.054041558,0.135638961,-0.01917316,0.128731759,-0.121727273
Polyp011_tr14_,Polyp011,tr14,0.121721631,0.191471906,0.153660668,Swimming,Polyp,0.280032317,-0.22885347,0.221997797,-0.10713184,0.191109071,-0.037381564,0.194498715,-0.075192802
Polyp012_tr11_,Polyp012,tr11,0.101614815,0.052679259,0.084695219,Swimming,Polyp,0.166747619,-0.045459259,0.151887407,0.056155556,0.132585455,0.00722,0.117744343,0.03923596
Polyp012_tr20_,Polyp012,tr20,0.170934588,0.277451294,0.317764107,Swimming,Polyp,0.24090837,-0.207687529,0.183764706,-0.036752941,0.150024898,0.069763765,0.130305882,0.110076578
